"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Variation %"
"22/01/2021","-0,278","-0,259","-0,249","-0,285","3,50%"
"21/01/2021","-0,269","-0,306","-0,254","-0,312","-9,87%"
"20/01/2021","-0,298","-0,306","-0,291","-0,316","-2,01%"
"19/01/2021","-0,304","-0,292","-0,284","-0,309","-0,20%"
"18/01/2021","-0,305","-0,324","-0,288","-0,330","-3,94%"
"15/01/2021","-0,317","-0,328","-0,308","-0,338","-3,32%"
"14/01/2021","-0,328","-0,315","-0,305","-0,338","5,43%"
"13/01/2021","-0,311","-0,273","-0,268","-0,319","21,19%"
"12/01/2021","-0,257","-0,277","-0,244","-0,285","-10,46%"
"11/01/2021","-0,287","-0,324","-0,283","-0,331","-9,42%"
"08/01/2021","-0,317","-0,319","-0,310","-0,331","0,57%"
"07/01/2021","-0,315","-0,309","-0,302","-0,339","-1,44%"
"06/01/2021","-0,319","-0,298","-0,293","-0,330","-4,03%"
"05/01/2021","-0,333","-0,369","-0,330","-0,371","-9,10%"
"04/01/2021","-0,366","-0,340","-0,326","-0,380","6,71%"
"01/01/2021","-0,343","-0,343","-0,343","-0,350","0,00%"
"31/12/2020","-0,343","-0,342","-0,342","-0,403","1,93%"
"30/12/2020","-0,336","-0,341","-0,312","-0,351","-2,44%"
"29/12/2020","-0,345","-0,336","-0,323","-0,351","5,15%"
"28/12/2020","-0,328","-0,315","-0,299","-0,333","7,89%"
"25/12/2020","-0,304","-0,317","-0,304","-0,317","4,61%"
"24/12/2020","-0,291","-0,273","-0,273","-0,297","-6,71%"
